	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
1957	0	1.34375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1958	0	0	0	0	0	0	0	0	0	1.906976744	1.671981777	2.608	2.031372549	1.729613734	1.431578947	1.144628099	0	0	2.750877193	2.413793103	3.435520362	3.155902004	2.720394737	2.298056156	1.938596491	1.720689655	1.510169492	1.423333333	1.306557377	1.790322581	1.629630159	2.240849711	1.953846154	1.782828788	1.616915846	1.573529412	1.41545942	1.261904286	1.169014085	1.023148611	0	0	0	1.135964653	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1959	2.191489362	2.210526316	3.016949153	1.971428571	5.029937108	5.494181382	4.318181818	3.514704412	2.757143204	4.5	4.92244898	4.488	4.266666667	3.669230769	3.094339623	2.540740741	2.916367273	3.457142857	11.46056475	12.74038462	19.97143807	21.40566038	19.1682243	16.97222868	14.81652752	12.7	10.62163514	9.35207824	12.01769912	10	9.198736605	9.930009856	9.145496536	8.376523153	9.377359665	10.1744186	9.766844757	9.021257292	8.289765795	7.571946095	6.867434521	6.175847458	7.228829411	7.222609416	7.680412371	7.124486343	6.53563648	6.309055118	5.895291562	5.732472818	6.139359699	5.977732192	5.500292863	4.995481928	5.296748981	5.111227232	4.81085044	5.396249166	5.849737477	5.708333333
1960	0	0	0	0	0	0	0	0	0	2.291666667	3.085714286	2.488	3.050980392	2.476923077	1.957894737	1.97107438	1.69979716	1.418326693	1.362035225	1.115384615	1.345283019	1.140740741	0	2.103671706	1.833333333	1.617241379	1.662711864	1.473333333	1.273772131	1.112904839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.710059772	1.588972431	1.606937905	1.53877529	1.435837772	1.442938325	1.343331344	1.234192037	1.474904817	1.366693137	1.634920635	1.538520309	1.488525777	1.483515385
1961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.043859268	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06731588	0	0
1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1963	0	1.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1966	0	0	0	0	1.76146741	1.991151312	1.58974359	1.190083157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.670909091	1.985716071	1.868421053	1.651724138	1.628813559	1.523333333	1.32295082	1.129032258	0	0	0	1.237374242	1.079601611	0	0	0	0	0	0	1.635135135	2.796982553	2.655059701	2.368852459	2.123377435	1.938294538	1.814535088	1.693643144	1.575509969	1.460049637	1.359138212	1.319653402	1.210774005	1.822395298	1.905269708	1.861676871	1.751682588	1.643965444	1.538461538
1967	10.67164179	64.0625	76.86567164	75.73529412	309.0908825	299.6809264	236.7924528	184.0517604	155.9322508	125.000125	112.3915891	93.55670103	82.78061224	91.79292929	83.75	75.86636865	63.84803922	61.77183037	75.36057692	67.85714286	57.62411348	48.73185386	43.6379407	42.49409871	76.72413793	70.77625571	60.94104308	51.23873874	47.50280584	44.72222222	55.92611111	87.40722222	133.3333333	124.0744444	107.0366667	95	88.70388889	85.185	76.66666667	68.14833333	75.74055556	71.11111111	62.59277778	54.07388889	48	55	48.76644331	45.34313725	80.55555556	76.66666667	68.88888889	68.88888889	61.11111111	53.33333333	51.11111111	158.8888889	187.7777778	180	164.4444444	148.8888889
1968	0	0	1.294117647	0	0	0	0	0	1.223999558	1.046511628	1.671981777	1.401785714	1.098468271	1.107296137	0	0	0	0	0	0	0	1.048148148	0	1.503571429	1.324559649	1.117241379	1.154237288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16882987	1.064157427	0	0	0	1.306123549	1.326877724	1.311253117	1.686662689	1.597190867	1.532821055	1.538578862	1.430837868	1.392671667	1.288674777	1.186814286
1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.36639461	1.274726374
1970	25.43859649	15.87837838	11.16883117	8.333333333	6.37724169	4.749997266	3.818181818	9.194441667	7.595627206	6.048387097	4.92244898	4.368	3.756862745	3.169230769	2.603773585	2.059259259	1.740365112	1.458167331	1.18590998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1972	0	0	0	0	0	0	0	0	1.127999405	0	0	1.245535714	1.492341357	1.193133047	0	0	1.294117647	1.019920319	0	0	2.078054299	2.721603563	2.292763158	1.932142857	1.710526316	1.496551724	1.289830508	1.106666667	1.159016393	1.370967742	1.597884127	2.616572254	3.454375475	3.116325407	3.092597222	3.782452468	4.129965587	3.800359893	3.769366197	3.45217352	3.142611806	2.84040747	2.620805687	4.421228856	5.257731959	6.312581381	5.736164132	5.718503937	5.168082301	4.820305109	4.563467492	4.380374341	4.132213224	3.888554217	4.253737135	4.923069697	4.67888563	4.678785403	4.440914986	4.207142857
1973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1974	20.52238806	34.67741935	36.9047619	28.46153846	23.81250477	35.46797829	27.89855072	60.81081081	48.94366197	43.05552083	67.44791667	57.47416237	47.45645917	62.12114899	49.99996732	54.82673865	52.20588235	45.07575758	39.13857678	34.87651235	34.40172845	29.40821256	28.70369928	24.47223562	22.24770642	20.06363636	18.05406757	16.75000603	16.26548673	14.21052632	15.00577924	13.3323761	12.07339164	11.34442829	11.5083728	13.6627907	12.93908222	11.24864424	9.814820261	9.730215633	10.7635227	9.618644068	8.908326738	8.210819549	8.556701031	7.936391306	8.034647133	7.440944882	6.864903911	6.305724877	5.809792844	5.420804946	4.952880047	5.216606498	5.163218616	5.023404704	4.76686217	4.526168681	4.873191643	4.85
1975	0	1.15625	0	0	0	0	0	0	0	0	0	0	0	1	1.010526316	1.000002066	0	1.338645418	1.655577299	1.423076923	1.194339623	1.159259259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.423728814	1.311253117	1.201264876	1.093676815	1.104248303	1.05729677	1.170068027	1.06731588	0	0
1977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	0	1.75	2.050847458	2.25	1.678898754	1.194689725	1.307692308	0	0	0	0	0	0	1.407725322	1.810526316	1.516528926	1.23326572	1.557768924	1.283757339	1.019230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1979	0	0	0	0	0	1.48672564	2.227272727	1.809916843	1.415999866	1.255813953	1.034168565	0	0	0	0	0	0	0	1.166340509	1.557692308	1.326415094	1.140740741	1.561818182	2.978401728	4.409574468	4.100628931	3.676652893	3.264765784	2.864457831	2.475247525	2.634765982	2.992294798	2.655893536	2.384615962	3.731483333	5.48206278	6.60251414	6.10703976	5.403050109	4.913041815	4.585912015	4.26655348	4.332211131	4.968492537	4.754098361	4.485390422	4.245975093	5.669291339	5.701369093	5.589159804	5.056497175	7.323639705	6.964609302	6.435018051	5.919890683	5.418606081	5.75389948	8.132835617	7.791222798	7.333333333
1980	0	2.578947368	1.882352941	1.285714286	0	8.023257031	8.983050847	8.861108333	8.005455747	6.935483871	5.641838352	4.688	4.305882353	3.707692308	3.132075472	2.577777778	2.043636364	1.976095618	2.189473684	2.827586207	2.994340498	2.82182294	2.588815789	3.140388769	3.771273404	3.911946541	3.676652893	3.264762729	2.864457831	3.069306931	3.249999756	3.743739884	4.338403042	4.495308166	4.314816667	3.97440585	3.642598698	3.319070694	3.003521127	2.69564983	2.704469677	2.636672326	2.343960282	2.058044776	1.961038961	1.898202694	3.064306867	3.127388535	3.094640602	2.851557379	2.613003096	2.516873122	2.285712875	2.05873494	1.949807317	1.836514959	2.391495601	2.171510673	2.927946686	2.707142857
1981	6.022727273	7	4.796610169	3.7	4.435482258	6.976742969	5.254237288	4.308822059	3.571432041	2.833333333	3.085714286	2.568	2.619607843	4.169230769	4.301886792	3.762962963	3.207272727	4.885714286	4.821052632	4.310344828	3.842760181	3.389755011	3.542763158	3.107991361	2.686173404	4.257861635	4.265495868	3.845213849	4.972891566	6.428577381	8.904162533	8.122087632	7.413394919	6.661588538	5.924530331	5.706278027	4.99638809	5.502207657	5.947717865	8.597126689	7.883114481	7.182208686	9.800559692	9.823162397	9.12371134	8.494575967	7.884746068	7.293307087	7.204268234	6.640121912	6.186440678	5.652857965	5.134213754	4.995481928	5.118708494	4.812123198	4.568914956	4.438959125	4.203162824	3.992857143
1982	0	0	2.355932203	1.942857143	2.499998387	2.171876294	1.641025641	1.239669852	1.079999328	0	1.398633257	1.089285714	1.010940919	0	0	0	0	0	2.119298246	3.137931034	3.096153846	2.688195991	2.490134868	3.140388769	3.10106383	3.18868239	3.769628099	3.723014257	3.346385542	2.98020099	4.099611231	4.090560694	3.768063688	3.425890782	3.14815	3.782452468	4.37364497	4.361855046	4.059856514	3.739127183	3.477663641	3.578944822	4.659397098	4.645109453	4.606559836	4.631494318	4.438900518	4.202231688	4.561521045	4.304681317	4.586687307	4.403380529	4.155009525	3.911144578	3.67164628	3.436386606	3.205278592	3.479654011	3.511520173	3.307142857
1983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1984	0	4.421052632	3.423728814	2.35	2.790320968	2.171876294	1.615384615	1.214876504	0	0	1.170842825	0	1.2297593	3.246153846	2.905660377	2.355555556	2.043636364	1.856573705	1.577299413	1.307692308	1.1	1.011111111	0	3.205183585	2.973404255	2.559748428	4.606404959	4.395112016	4.159638554	3.782178218	3.425780834	3.07900289	2.741444867	2.553471338	2.425927778	2.301645338	2.072205711	1.890475714	1.732395775	1.648148611	1.68949726	1.797297297	1.928889239	1.780702343	2.024592623	3.146104708	3.064304456	2.840764331	2.929027435	2.687497607	2.450464396	2.493869234	2.650455964	3.278614458	3.044779205	3.236682907	3.007331378	4.155528068	4.073479827	3.864285714
1985	1.16	1.0625	1.558823529	9.351851852	7.544905662	10.97562076	8.559322034	13.70655935	17.04887517	13.62637363	10.81256771	9.065420561	8.162327718	6.912650602	5.777777778	4.8	4.370909091	3.814285714	5.618922114	7.260280822	6.275303644	5.319155585	4.694082237	4.241900648	3.803191489	3.377361635	3.55268595	3.142566191	2.743978916	2.356435644	2.019532207	1.833334375	1.661538462	1.510101515	1.990050731	2.767824497	2.451266741	2.142601731	2.237676056	1.967593056	1.812784932	1.662162162	1.515555354	1.399122894	1.480520779	1.500429213	1.393068802	1.601503759	1.594551443	1.612244648	1.653753027	1.670392526	1.662984747	1.67915808	1.671817248	1.572957382	1.47619161	1.493644926	1.488527997	1.483518681
1986	5.568181818	4	2.711864407	2.15	5.748499552	20.48780428	26.44927536	25.71428571	22.2932341	19.72527473	17.47562297	22.17947115	19.95783456	17.17254158	14.61538462	11.97368421	10.44956543	9.011292373	7.84422114	9.999993151	9.24425776	8.244680851	7.339449541	6.395342377	6.369420382	6.721099246	5.885997522	7.762836186	7.117008444	6.904755952	6.194026861	6.372474004	7.297915704	6.775917893	6.094335671	5.930493274	5.21465782	4.762924922	4.455985915	4.521735198	4.946737068	4.724955008	4.432882187	4.3714801	4.065571311	4.38799026	4.149514793	4.273887739	4.703477216	4.539055768	4.308049536	4.28834959	4.041028022	3.798192771	3.559705731	3.458575906	3.315249267	3.174420565	3.100857349	2.942857143
1987	3.468085106	1.78125	1.382352941	1.342857143	1.431192787	4.234373071	6.525423729	5.277775	4.857140204	7.338709677	6.354992076	5.950155763	5.02297856	4.4	4.981132075	4.540740741	3.970909091	3.885714286	3.347368421	2.827586207	7.152496626	6.449468085	5.504587156	4.857451404	4.537234043	8.165829146	7.496902107	7.457212714	7.840772014	15.13159211	13.83254973	12.04075245	36.68478261	38.30935834	35.35715816	31.38297872	27.46471806	39.07341557	36.19791667	32.32755053	28.51033555	24.88170347	29.6452172	26.92960114	24.19230769	22.66584268	21.15480378	19.65909091	21.34424042	31.85478018	31.73076923	29.45866414	26.26574768	24.11764706	22.65856175	21.21357421	20.65217391	20.42068712	19.65309975	18.67857143
1988	0	2.578947368	1.970588235	2.7	2.30645	1.752212836	1.692307692	3.161763235	2.928571531	3.708333333	3.534693878	2.928	2.345098039	1.901287554	2.301886792	2.17037037	1.963488844	1.677292829	1.518590998	1.788461538	1.68490566	4.792873051	4.496710526	4.144705184	3.707446809	3.283018868	3.583677686	7.57945599	6.996381182	6.130952381	5.369202961	4.813106936	5.854515012	5.575453945	5.132084656	4.714810786	4.373647677	4.040999145	4.086270246	4.182605059	4.17353795	3.986417657	3.67785178	3.376450249	3.131147541	3.073055195	3.112538223	2.88853742	2.645112725	2.429688055	2.218266254	2.033745476	1.92344211	1.983607728	1.868727362	1.779220482	1.929704082	2.062498728	2.603739193	2.985714286
1989	17.6119403	8.8	9.519230769	7.314814815	5.568858941	4.328122925	5.847457627	14.40154031	11.80451624	14.12087912	12.11267606	9.68847352	10	9.021084337	10.76923077	14.09919028	12.0979021	14.73372781	12.19084713	10	8.974358974	7.978723404	7.011795544	6.072351421	5.159235669	6.344221106	12.7837973	11.39285839	9.710494572	8.809517857	8.02042264	11.65326535	9.953810624	9.805640096	16.28492645	14.53489618	12.81559189	11.1262159	14.32038835	13.24865442	16.13204171	18.25709779	17.17933478	16.11945739	14.5	15.66325593	18.18527571	16.70454545	20.10051558	22.22497638	20.85820896	19.39357373	17.94334757	16.50735294	15.08535407	13.67720302	12.2826087	11.76679936	10.39477084	9.625
1990	0	1.8125	1.647058824	1.142857143	0	0	1.692307692	1.314049894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.206666667	1.01147541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
